@101,#23N,68S,#16556E,-157W,Point Barrow SEC
@102,#14N,68S,#16570E,-171^30W,Cape Lisburne SEC
@111,64S,#16591E,-145W,Dawson SEC
@112,#36N,64S,#16627E,-158W,Fairbanks SEC
@113,64S,#16598E,-171^30W,Nome SEC
@121,60S,#16522E,-141W,Whitehorse SEC
@122,#33N,60S,#16625E,-151^30W,Anchorage SEC
@123,#18N,#6104S,#17858E,-152^30W,Seward SEC
@124,60S,-162W,McGrath SEC
@125,#30N,#12076S,-173W,Bethel SEC
@131,#59N,56S,#16500E,-141W,Juneau SEC
@132,#22N,56S,#16590E,-162W,Kodiak SEC
@141,52S,#16510E,-139W,Ketchikan SEC
@142,#6096S,#16560E,-164W,Cold Bay SEC
@143,52S,#16573E,-173W,Dutch Harbor SEC
@144,#144N,51S,Western Aleutian Islands West SEC
@145,#200N,51S,178W,Western Aleutian Islands East SEC
@201,#16N,44S,#16580E,-69W,Halifax SEC
@202,#54N,44S,#17865E,-77W,Montreal SEC
@203,#30N,44S,#17872E,-85W,Lake Huron SEC
@204,#38N,44S,-93W,Green Bay SEC
@205,#42N,#12132S,-101W,Twin Cities SEC
@206,#7N,#12120S,#17872E,-109W,Billings SEC
@207,#12100S,#17874E,-117W,Great Falls SEC
@208,#7N,#12108S,#17864E,-125W,Seattle SEC
@211,40S,-77W,New York SEC
@212,#63N,40S,#17905E,-85W,Detroit SEC
@213,#836N,40S,#17926E,-93W,Chicago SEC
@214,#56N,40S,-101W,Omaha SEC
@215,40S,#17918E,-109W,Cheyenne SEC
@216,40S,-117W,Salt Lake City SEC
@217,40S,-125W,Klamath Falls SEC
@221,#14N,36S,#16672E,-79W,Washington SEC
@222,#8N,36S,#17910E,-85W,Cincinnati SEC
@223,36S,#17930E,-91W,St Louis SEC
@224,#40N,36S,#16570E,-97W,Kansas City SEC
@225,#62N,36S,#16640E,-104W,Wichita SEC
@226,#11768S,#16618E,-111W,Denver SEC
@227,#11760S,-118W,Las Vegas SEC
@228,#988N,36S,-125W,San Francisco SEC
@231,32S,-82W,Charlotte SEC
@232,#932N,32S,#17923E,-88W,Atlanta SEC
@233,#54N,32S,#17904E,-95W,Memphis SEC
@234,32S,#17928E,-102W,Dallas-Ft Worth SEC
@235,#20,32S,#17900E,-109W,Albuquerque SEC
@236,#660N,#12250S,#17884E,-116W,Phoenix SEC
@237,#1372N,32S,#16582E,-122W,Los Angeles SEC
@241,28S,-85W,Jacksonville SEC
@242,28S,-91W,New Orleans SEC
@243,#24N,28S,#16552E,-97W,Houston SEC
@244,#10N,28S,#16710E,-103W,San Antonio SEC
@245,#14N,28S,#16548E,-109W,El Paso SEC
@246,#1036N,24S,#17053E,-83W,Miami SEC
@247,#6N,24S,#17256E,-103W,Brownsville SEC
#2310N,#2311S,#4132E,#1334W,Honolulu Inset SEC
@501,64S,#1348W,CC-9 WAC
@502,64S,CC-8 WAC
@511,56S,#2288W,CD-12 WAC
@512,56S,#2232W,CD-11 WAC
@513,56S,#372W,CD-10 WAC
@521,CE-15 WAC
@522,#532W,#6100S,CE-13 WAC
@523,#120N,#6104S,#1576W,CE-12 WAC
@531,40S,#1716W,CF-19 WAC
@532,40S,#1700W,CF-18 WAC
@533,40S,#1712W,CF-17 WAC
@534,40S,#1140W,CF-16 WAC
@541,32S,#2104W,CG-21 WAC
@542,32S,#2120W,CG-20 WAC
@543,#11944S,#2100W,CG-19 WAC
@544,#11672S,CG-18 WAC
@551,24S,#1708W,CH-25 WAC
@552,#1704W,CH-24 WAC
@553,#1696W,CH-23 WAC
@554,CH-22 WAC
@561,#2372W,CJ-27 WAC
@562,CJ-26 WAC
@891,ENR EPHI1-GUA
@892,ENR EPHI2
@900,ENR ELAK1
@901,ENR ELAK2C
@902,ENR ELAK2E
@903,ENR ELAK2W
@904,ENR ELAK3
@905,ENR ELAK4
@906,ENR ELUS10
@907,ENR ELUS11
@908,ENR ELUS1
@909,ENR ELUS12
@910,ENR ELUS13
@911,ENR ELUS14
@912,ENR ELUS15
@913,ENR ELUS16
@914,ENR ELUS17
@915,ENR ELUS18
@916,ENR ELUS19
@917,ENR ELUS20
@918,ENR ELUS21
@919,ENR ELUS2
@920,ENR ELUS22
@921,ENR ELUS23
@922,ENR ELUS24
@923,ENR ELUS25
@924,ENR ELUS26
@925,ENR ELUS27
@926,ENR ELUS28
@927,ENR ELUS29
@928,ENR ELUS30
@929,ENR ELUS31
@930,ENR ELUS3
@931,ENR ELUS32
@932,ENR ELUS33
@933,ENR ELUS34
@934,ENR ELUS35
@935,ENR ELUS36
@936,ENR ELUS4
@937,ENR ELUS5
@938,ENR ELUS6N
@939,ENR ELUS6S
@940,ENR ELUS7
@941,ENR ELUS8
@942,ENR ELUS9
@1000,OFM Austria Street
@1000,OFM Austria White
@1010,OFM Belgium Street
@1010,OFM Belgium White
@1020,OFM Bulgaria Street
@1020,OFM Bulgaria White
@1030,OFM Croatia Street
@1030,OFM Croatia White
@1040,OFM Czech Republic Street
@1040,OFM Czech Republic White
@1050,OFM Denmark Street
@1050,OFM Denmark White
@1060,OFM Finland Street
@1060,OFM Finland White
@1070,OFM Germany Street
@1070,OFM Germany White
@1080,OFM Greece Street
@1080,OFM Greece White
@1090,OFM Hungary Street
@1090,OFM Hungary White
@1100,OFM Italy Street
@1100,OFM Italy White
@1110,OFM Netherlands Street
@1110,OFM Netherlands White
@1120,OFM Poland Street
@1120,OFM Poland White
@1130,OFM Romania Street
@1130,OFM Romania White
@1140,OFM Slovakia Street
@1140,OFM Slovakia White
@1150,OFM Slovenia Street
@1150,OFM Slovenia White
@1160,OFM Sweden Street
@1160,OFM Sweden White
@1170,OFM Switzerland Street
@1170,OFM Switzerland White
